ALPHA_3_CODE,IsscaapGrp_mapping,Name_En,Scientific_Name,Name_Cn,Troph,Troph.SE,SL.max,DATA.SOURCE,FOOD.ITEM
GSU,33,Silver seabream,Pagrus auratus,金赤鲷,3.32,0.47,106.6,FishBase_ISSCAAP,Demersal fish
GTA,25,Three-spined stickleback,Gasterosteus aculeatus,,3.51,0.49,9.67,FishBase_ISSCAAP,Pelagic fish
GTF,38,"Guitarfishes, etc. nei",Rhinobatidae,,3.63,0.03,101,FishBase_ISSCAAP,Demersal fish
GTV,33,Longtail silverbiddy,Gerres longirostris,,3.5,NA,NA,SeaAroundUs,Demersal fish
GUC,34,Cape gurnard,Chelidonichthys capensis,,4.21,0.7,52.05,FishBase_ISSCAAP,Demersal fish
GUD,38,Chola guitarfish,Pseudobatos percellens,,3.58,0.62,84.76,FishBase_ISSCAAP,Demersal fish
GUF,38,Pacific guitarfish,Pseudobatos planiceps,,3.54,0.55,62.57,FishBase_ISSCAAP,Demersal fish
GUG,34,Grey gurnard,Eutrigla gurnardus,,3.57,0.57,52.54,FishBase_ISSCAAP,Demersal fish
GUN,34,Piper gurnard,Trigla lyra,,3.65,NA,NA,SeaAroundUs,Demersal fish
GUP,38,Gulper shark,Centrophorus granulosus,,4.13,0.65,131.2,FishBase_ISSCAAP,Demersal fish
GUQ,38,Leafscale gulper shark,Centrophorus squamosus,,4.22,0.61,134.48,FishBase_ISSCAAP,Demersal fish
GUR,34,Red gurnard,Chelidonichthys cuculus,,3.85,0.64,41.8,FishBase_ISSCAAP,Demersal fish
GUS,45,Guinea shrimp,Holthuispenaeopsis atlantica,,2.7,0.35,NA,FishBase_ISSCAAP,Crustaceans
GUT,36,Indo-Pacific king mackerel,Scomberomorus guttatus,,4.28,0.67,72.43,FishBase_ISSCAAP,Pelagic fish
GUU,34,Tub gurnard,Chelidonichthys lucerna,斑鳍鲂鮄,3.65,0.61,63.05,FishBase_ISSCAAP,Demersal fish
GUX,34,"Gurnards, searobins nei",Triglidae,,3.63,0.05,46,FishBase_ISSCAAP,Demersal fish
GUY,34,Gurnards nei,Trigla spp,,3.51,NA,NA,SeaAroundUs,Demersal fish
GUZ,38,Guitarfishes nei,Rhinobatos spp,,3.73,NA,NA,SeaAroundUs,Demersal fish
GYP,33,Peruvian sea catfish,Galeichthys peruvianus,,3.6,NA,NA,Estimate(FishBase),Demersal fish
HAD,32,Haddock,Melanogrammus aeglefinus,黑线鳕,4.09,0.69,86.02,FishBase_ISSCAAP,Demersal fish
HAI,31,Indian halibut,Psettodes erumei,,4.39,0.76,50.5,FishBase_ISSCAAP,Demersal fish
HAJ,37,Japanese halfbeak,Hyporhamphus sajori,,3.4,0.45,37.39,FishBase_ISSCAAP,Pelagic fish
HAL,31,Atlantic halibut,Hippoglossus hippoglossus,大西洋庸鲽,4.53,0.79,218.94,FishBase_ISSCAAP,Demersal fish
HAP,31,Pacific halibut,Hippoglossus stenolepis,狭鳞庸鲽 (太平洋庸鲽),4.13,0.72,218.94,FishBase_ISSCAAP,Demersal fish
HAS,37,Torpedo scad,Megalaspis cordyla,,4.39,0.76,68.8,FishBase_ISSCAAP,Pelagic fish
HAW,34,Peruvian morwong,Cheilodactylus variegatus,,3.33,0.5,25.09,FishBase_ISSCAAP,Demersal fish
