ALPHA_3_CODE,IsscaapGrp_mapping,Name_En,Scientific_Name,Name_Cn,Troph,Troph.SE,SL.max,DATA.SOURCE,FOOD.ITEM
MAE,38,Spotted eagle ray,Aetobatus narinari,,4.17,NA,NA,SeaAroundUs,Pelagic fish
MAK,38,Mako sharks,Isurus spp,鲭鲨属未定种,4.5,0,334.97,FishBase_ISSCAAP,Pelagic fish
MAL,33,Malabar blood snapper,Lutjanus malabaricus,马拉巴笛鲷,4.46,0.79,82,FishBase_ISSCAAP,Demersal fish
MAN,38,"Mantas, devil rays nei",Mobulidae,,3.54,0.03,178,FishBase_ISSCAAP,Pelagic fish
MAR,33,Malabar grouper,Epinephelus malabaricus,玛拉巴石斑鱼,3.75,0.65,196.88,FishBase_ISSCAAP,Demersal fish
MAS,37,Pacific chub mackerel,Scomber japonicus,,3.09,0.43,56.52,FishBase_ISSCAAP,Pelagic fish
MAT,56,Mactra surf clams nei,Mactridae,,2,NA,NA,SeaAroundUs,"Molluscs, other"
MAV,34,Silvery lightfish,Maurolicus muelleri,,3.01,0.07,5.94,FishBase_ISSCAAP,Demersal fish
MAW,36,West African Spanish mackerel,Scomberomorus tritor,,4.26,0.74,82,FishBase_ISSCAAP,Pelagic fish
MAX,37,Mackerels nei,Scombridae,,4.2,0.06,115,FishBase_ISSCAAP,Pelagic fish
MAZ,37,Scomber mackerels nei,Scomber spp,,3.65,0.32,52,FishBase_ISSCAAP,Pelagic fish
MBG,33,Bald glassy,Ambassis gymnocephalus,,3.91,NA,NA,FishBase,Demersal fish
MBM,41,Monsoon river prawn,Macrobrachium malcolmsonii,间歇水沼虾,2.2,0.23,NA,FishBase_ISSCAAP,Crustaceans
MBZ,47,Giant barnacle,Austromegabalanus psittacus,鹦鹉巨藤壶,2.6,0.3,NA,FishBase_ISSCAAP,Crustaceans
MCC,32,Ridge scaled rattail,Macrourus carinatus,,3.75,0.64,82,FishBase_ISSCAAP,Demersal fish
MCD,34,Madeira lantern fish,Ceratoscopelus maderensis,马德拉角灯鱼,3.27,NA,NA,SeaAroundUs,Demersal fish
MCL,56,Half-crenated ark,Scapharca subcrenata,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
MCO,11,Long pectoral-fin minnow,Macrochirichthys macrochirus,,3.7,0.568,82,FishBase_ISSCAAP,Freshwater fish
MCP,13,Murray cod,Maccullochella peelii,虫纹鳕鲈,4.15,0.62,180,FishBase_ISSCAAP,Freshwater fish
MDI,13,Flatwhiskered catfish,Pinirampus pirinampu,,4.5,NA,NA,FishBase,Freshwater fish
MDM,13,,Pimelodus maculatus,斑油鲶,2.87,0.35,41.82,FishBase_ISSCAAP,Freshwater fish
MEC,43,New Zealand lobster,Metanephrops challengeri,,2.6,0.3,NA,FishBase_ISSCAAP,Crustaceans
MEG,31,Megrim,Lepidorhombus whiffiagonis,,4.24,0.75,49.98,FishBase_ISSCAAP,Demersal fish
MEO,33,Snakehead kingcroaker,Menticirrhus ophicephalus,,3.36,NA,NA,FishBase,Demersal fish
MER,33,Silver grunter,Mesopristes argenteus,,4.02,NA,NA,FishBase,Demersal fish
MES,35,Pacific menhaden,Ethmidium maculatum,,2.07,0.06,26,FishBase_ISSCAAP,Pelagic fish
MET,45,Metapenaeus shrimps nei,Metapenaeus spp,,2.6,0.59,NA,FishBase_ISSCAAP,Crustaceans
MEU,33,Highfin king croaker,Menticirrhus nasus,,3.41,NA,NA,FishBase,Demersal fish
MFF,33,Flagfin mojarra,Eucinostomus melanopterus,,3.39,NA,NA,SeaAroundUs,Demersal fish
MFX,77,Cannonball jellyfish,Stomolophus meleagris,,3.34,NA,NA,SeaAroundUs,"Aquatic animals, other"
MGA,33,Golden grey mullet,Chelon auratus,,2.46,0.23,46.57,FishBase_ISSCAAP,Demersal fish
MGC,33,Thinlip grey mullet,Chelon ramada,薄唇鮻,2.16,0.13,53.55,FishBase_ISSCAAP,Demersal fish
MGI,33,Parassi mullet,Mugil incilis,,2.01,0.03,30.08,FishBase_ISSCAAP,Demersal fish
MGR,33,Meagre,Argyrosomus regius,大西洋白姑鱼,4.29,0.75,191.53,FishBase_ISSCAAP,Demersal fish
MGS,33,,Mugil spp,,2.26,NA,NA,SeaAroundUs,Demersal fish
MGU,33,White mullet,Mugil curema,,2.01,0.04,71.12,FishBase_ISSCAAP,Demersal fish
MHA,35,Atlantic menhaden,Brevoortia tyrannus,,2.25,0.19,40.15,FishBase_ISSCAAP,Pelagic fish
MHG,35,Gulf menhaden,Brevoortia patronus,,2.19,0.07,35,FishBase_ISSCAAP,Pelagic fish
MHJ,32,Slender codling,Halargyreus johnsonii,,3.38,NA,NA,SeaAroundUs,Demersal fish
MHP,35,Argentine menhaden,Brevoortia pectinata,,3.4,0.45,35,FishBase_ISSCAAP,Pelagic fish
MHS,35,Brazilian menhaden,Brevoortia aurea,,2.75,0.31,26,FishBase_ISSCAAP,Pelagic fish
MIH,33,Mi-iuy (brown) croaker,Miichthys miiuy,,3.5,0.37,70,FishBase_ISSCAAP,Demersal fish
MIL,25,Milkfish,Chanos chanos,虱目鱼(遮目鱼),2.03,0.06,180,FishBase_ISSCAAP,Pelagic fish
MIP,31,Dover sole,Microstomus pacificus,,3.27,0.37,62.32,FishBase_ISSCAAP,Demersal fish
MIT,33,Tallfin croaker,Micropogonias altipinnis,,3.67,NA,NA,SeaAroundUs,Demersal fish
MJB,45,Whiskered velvet shrimp,Metapenaeopsis barbata,须赤虾,2.7,NA,NA,Estimate(SeaAroundUs),Crustaceans
MKG,31,Thickback sole,Microchirus variegatus,,3.28,NA,NA,SeaAroundUs,Demersal fish
MKH,33,Scamp,Mycteroperca phenax,,4.47,0.79,87.72,FishBase_ISSCAAP,Demersal fish
MKM,33,Gag,Mycteroperca microlepis,小鳞喙鲈,3.65,0.6,118.9,FishBase_ISSCAAP,Demersal fish
MKV,33,Yellowfin grouper,Mycteroperca venenosa,,4.49,0.79,88.31,FishBase_ISSCAAP,Demersal fish
MLB,33,Goldsilk seabream,Acanthopagrus berda,灰鳍棘鲷,3.48,0.58,73.52,FishBase_ISSCAAP,Demersal fish
MLD,13,Silver mylossoma,Mylossoma duriventre,,2.84,NA,NA,FishBase,Freshwater fish
MLM,33,Blackhead seabream,Acanthopagrus schlegeli,黑鲷,3.24,0.45,50,FishBase_ISSCAAP,Demersal fish
MLR,33,Thicklip grey mullet,Chelon labrosus,,2.59,0.32,75,FishBase_ISSCAAP,Demersal fish
MLS,36,Striped marlin,Kajikia audax,,4.58,0.76,344.4,FishBase_ISSCAAP,Pelagic fish
MMH,33,Mediterranean moray,Muraena helena,,4.18,0.61,123,FishBase_ISSCAAP,Demersal fish
MNX,41,Oriental river prawn,Macrobrachium nipponense,日本沼虾,3.31,NA,NA,Estimate(SeaAroundUs),Crustaceans
MNZ,34,Monkfishes nei,Lophius spp,,4.48,0.01,68,FishBase_ISSCAAP,Demersal fish
MOA,37,Atlantic moonfish,Selene setapinnis,,3.72,0.52,49.2,FishBase_ISSCAAP,Pelagic fish
MOB,33,Monocle breams,Scolopsis spp,,3.53,0.06,30,FishBase_ISSCAAP,Demersal fish
MOD,54,Horse mussels nei,Modiolus spp,,2.1,0.22,NA,FishBase_ISSCAAP,"Molluscs, other"
MOF,51,Freshwater molluscs nei,Mollusca,,2.2,0.23,NA,FishBase_ISSCAAP,"Molluscs, other"
MOJ,33,Mojarras(=Silver-biddies) nei,Gerres spp,,3.3,0.05,27,FishBase_ISSCAAP,Demersal fish
MOL,58,Marine molluscs nei,Mollusca,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
MON,34,Angler(=Monk),Lophius piscatorius,鮟鱇,4.45,0.76,200,FishBase_ISSCAAP,Demersal fish
MOO,33,Moonfish,Mene maculata,,3.45,0.41,23.94,FishBase_ISSCAAP,Demersal fish
MOP,37,Sunfish,Mola spp,,3.68,NA,NA,SeaAroundUs,Pelagic fish
MOR,32,Moras nei,Moridae,,3.53,0.07,63,FishBase_ISSCAAP,Demersal fish
MOW,34,Morwongs,Nemadactylus spp,,3.38,0.07,57,FishBase_ISSCAAP,Demersal fish
MOX,37,Ocean sunfish,Mola mola,,4,0.28,279.68,FishBase_ISSCAAP,Pelagic fish
MPE,45,Greasyback shrimp,Metapenaeus ensis,刀额新对虾,2.7,0.35,NA,FishBase_ISSCAAP,Crustaceans
MPM,45,Eastern school shrimp,Metapenaeus macleayi,,2.7,0.35,NA,FishBase_ISSCAAP,Crustaceans
MPN,45,Speckled shrimp,Metapenaeus monoceros,独角新对虾,2.7,0.35,NA,FishBase_ISSCAAP,Crustaceans
MPS,13,Largemouth black bass,Micropterus salmoides,大口黑鲈,3.84,0.62,84,FishBase_ISSCAAP,Freshwater fish
MPV,33,Humpback grouper,Cromileptes altivelis,驼背鲈,4.5,0.8,51.67,FishBase_ISSCAAP,Demersal fish
MQO,56,Large trough shell,Mactra murchisoni,,2,NA,NA,SeaAroundUs,"Molluscs, other"
MRB,38,Cownose ray,Rhinoptera bonasus,,3.5,0.59,81.18,FishBase_ISSCAAP,Pelagic fish
MRG,32,Panama hake,Merluccius angustimanus,巴拿马无须鳕,4.01,0.72,32.8,FishBase_ISSCAAP,Demersal fish
MRM,38,Lusitanian cownose ray,Rhinoptera marginata,,3.84,0.6,81.18,FishBase_ISSCAAP,Pelagic fish
MRR,38,Ticon cownose ray,Rhinoptera brasiliensis,,3.6,NA,NA,SeaAroundUs,Demersal fish
MSC,54,Cholga mussel,Aulacomya ater,,2.1,0.22,NA,FishBase_ISSCAAP,"Molluscs, other"
MSD,37,Mackerel scad,Decapterus macarellus,,3.96,NA,NA,SeaAroundUs,Pelagic fish
MSF,31,Mediterranean scaldfish,Arnoglossus laterna,,3.59,NA,NA,SeaAroundUs,Demersal fish
MSK,38,"Mackerel sharks,porbeagles nei",Lamnidae,,4.51,0.01,375,FishBase_ISSCAAP,Pelagic fish
MSL,54,South American rock mussel,Perna perna,,2.1,0.22,NA,FishBase_ISSCAAP,"Molluscs, other"
MSM,54,Mediterranean mussel,Mytilus galloprovincialis,,2.1,0.22,NA,FishBase_ISSCAAP,"Molluscs, other"
MSP,36,Mediterranean spearfish,Tetrapturus belone,,4.5,0.8,196.8,FishBase_ISSCAAP,Pelagic fish
MSR,54,River Plata mussel,Mytilus platensis,,2.1,0.22,NA,FishBase_ISSCAAP,"Molluscs, other"
MSV,54,Green mussel,Perna viridis,翡翠贻贝,2,0.22,NA,FishBase_ISSCAAP,"Molluscs, other"
MSX,54,Sea mussels nei,Mytilidae,,2.1,0.22,NA,FishBase_ISSCAAP,"Molluscs, other"
MTD,45,Western school shrimp,Metapenaeus dalli,戴氏新对虾,2.7,NA,NA,SeaAroundUs,Crustaceans
MTJ,45,Jinga shrimp,Metapenaeus affinis,近缘新对虾,3.44,NA,NA,SeaAroundUs,Crustaceans
MTL,38,Spotted estuary smooth-hound,Mustelus lenticulatus,斑点星鲨,3.51,0.45,123.82,FishBase_ISSCAAP,Demersal fish
MTS,47,Spottail mantis squillid,Squilla mantis,,2.6,0.3,NA,FishBase_ISSCAAP,Crustaceans
MTV,56,Globose clam,Mactra veneriformis,四角蛤蜊,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
MUA,33,Bobo mullet,Joturus pichardi,,2.37,0.28,50.02,FishBase_ISSCAAP,Demersal fish
MUB,33,Lebranche mullet,Mugil liza,,2,0,63.15,FishBase_ISSCAAP,Demersal fish
MUC,11,Mud carp,Cirrhinus molitorella,鲮,2,0,45.1,FishBase_ISSCAAP,Freshwater fish
MUD,42,Indo-Pacific swamp crab,Scylla serrata,,3.1,0.3,NA,FishBase_ISSCAAP,Crustaceans
MUE,52,Murex,Murex spp,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
MUF,33,Flathead grey mullet,Mugil cephalus,鲻,2.13,0.18,100,FishBase_ISSCAAP,Demersal fish
MUI,33,"Morays eels, etc. nei",Muraenidae,,3.97,0.05,50,FishBase_ISSCAAP,Demersal fish
MUJ,54,Californian mussel,Mytilus californianus,加州贻贝,2,NA,NA,SeaAroundUs,"Molluscs, other"
MUK,54,Korean mussel,Mytilus unguiculatus,厚壳贻贝,2.1,0.22,NA,FishBase_ISSCAAP,"Molluscs, other"
MUL,33,Mullets nei,Mugilidae,,2.43,0.05,60,FishBase_ISSCAAP,Demersal fish
MUM,33,"Goatfishes, red mullets nei",Mullidae,,3.48,0.05,33,FishBase_ISSCAAP,Demersal fish
MUN,56,Taquilla clams,Mulinia spp,骡蛤属未定种,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
MUO,33,Leaping African mullet,Mugil capurrii,,2,NA,NA,SeaAroundUs,Demersal fish
MUR,33,Surmullet,Mullus surmuletus,纵带羊鱼,3.42,0.51,40,FishBase_ISSCAAP,Demersal fish
MUS,54,Blue mussel,Mytilus edulis,紫贻贝,2.1,0.22,NA,FishBase_ISSCAAP,"Molluscs, other"
MUT,33,Red mullet,Mullus barbatus,,3.15,0.35,30,FishBase_ISSCAAP,Demersal fish
MUV,33,Yellowstripe goatfish,Mulloidichthys flavolineatus,,3.27,0.39,35.26,FishBase_ISSCAAP,Demersal fish
MUX,33,Surmullets(=Red mullets) nei,Mullus spp,,3.34,0.1,20,FishBase_ISSCAAP,Demersal fish
MUZ,54,New Zealand mussel,Perna canaliculus,,2.1,0.22,NA,FishBase_ISSCAAP,"Molluscs, other"
MVA,34,Shortspine African angler,Lophius vaillanti,短鳍鮟鱇,4.5,0.8,41,FishBase_ISSCAAP,Demersal fish
MVG,76,Slitted sand dollar,Mellita longifissa,长裂蜜饼海胆,3,NA,NA,Estimate,"Aquatic animals, other"
MVJ,34,Blackfin goosefish,Lophius gastrophysus,,4.5,0.61,49.2,FishBase_ISSCAAP,Demersal fish
MVO,34,Devil anglerfish,Lophius vomerinus,犁齿鮟鱇,4.46,0.7,82,FishBase_ISSCAAP,Demersal fish
MWC,33,Broadgilled hagfish,Eptatretus cirrhatus,,5,NA,NA,SeaAroundUs,Demersal fish
MWF,43,Metanephrops lobsters nei,Metanephrops spp,,3.93,NA,NA,SeaAroundUs,Crustaceans
MWU,33,Argentine goatfish,Mullus argentinae,银羊鱼,3.45,0.41,24.6,FishBase_ISSCAAP,Demersal fish
MWY,13,Fire eel,Mastacembelus erythrotaenia,红纹刺鳅,2.74,0.27,82,FishBase_ISSCAAP,Freshwater fish
MXG,33,Humpnose big-eye bream,Monotaxis grandoculis,,3.19,0.35,50,FishBase_ISSCAAP,Demersal fish
MXT,42,Harbour spidercrab,Mithrax armatus,刺宝石蟹,2.5,NA,NA,SeaAroundUs,Crustaceans
MXV,33,Shorthorn sculpin,Myoxocephalus scorpius,,3.89,NA,NA,SeaAroundUs,Demersal fish
MXW,13,,Pimelodus spp,,3.5,NA,NA,Estimate(FishBase),Freshwater fish
MYA,54,Australian mussel,Mytilus planulatus,,2.1,0.22,NA,FishBase_ISSCAAP,"Molluscs, other"
MYC,54,Chilean mussel,Mytilus chilensis,,2.1,0.22,NA,FishBase_ISSCAAP,"Molluscs, other"
MYN,13,Asian redtail catfish,Hemibagrus nemurus,线尾鳠,3.62,0.59,65,FishBase_ISSCAAP,Freshwater fish
MYU,33,Pacific hagfish,Eptatretus stoutii,,4.24,NA,NA,SeaAroundUs,Demersal fish
MYX,33,Hagfishes nei,Myxinidae,,4.02,0.24,40.465,FishBase_ISSCAAP,Demersal fish
MYZ,33,So-iuy mullet,Mugil soiuy,鮻的异名,2.49,0.19,71.21,FishBase_ISSCAAP,Demersal fish
MZP,11,,Mystacoleucus padangensis,,2.93,0.34,9.51,FishBase_ISSCAAP,Freshwater fish
MZU,13,Bottlenose fishes nei,Mormyrus spp,,3.69,NA,NA,FishBase,Freshwater fish
MZZ,39,Marine fishes nei,Actinopterygii,,3.79,NA,52,SeaAroundUs,"Marine fish, other"
NAB,33,Spotted unicornfish,Naso brevirostris,,2.7,NA,NA,SeaAroundUs,Demersal fish
NAS,33,Bluespine unicornfish,Naso unicornis,,2.17,0.11,62.23,FishBase_ISSCAAP,Demersal fish
NAU,37,Pilotfish,Naucrates ductor,,3.98,0.63,57.4,FishBase_ISSCAAP,Pelagic fish
NBO,33,Pacific smalleye croaker,Nebris occidentalis,,3.7,NA,NA,Estimate(FishBase),Demersal fish
NBR,37,Yellow jack,Carangoides bartholomaei,,4.48,NA,NA,FishBase,Pelagic fish
NBU,13,Round goby,Neogobius melanostomus,,3.3,NA,NA,SeaAroundUs,Freshwater fish
NBX,52,,Nassarius spp,,3.33,NA,NA,SeaAroundUs,"Molluscs, other"
NCC,13,Clown knifefish,Chitala chitala,,3.73,0.59,122,FishBase_ISSCAAP,Freshwater fish
NCG,13,Giant featherback,Chitala lopis,,4.5,0.8,150,FishBase_ISSCAAP,Freshwater fish
NCL,56,Short neck clams nei,Paphia spp,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
NDZ,56,Blood ark,Anadara ovalis,,2,NA,NA,SeaAroundUs,"Molluscs, other"
NEB,33,New Zealand blue cod,Parapercis colias,,3.87,0.67,38.12,FishBase_ISSCAAP,Demersal fish
NEC,32,Red codling,Pseudophycis bachus,,4.5,0.8,84.96,FishBase_ISSCAAP,Demersal fish
NED,37,Needlefishes nei,Tylosurus spp,,4.44,0.03,124,FishBase_ISSCAAP,Pelagic fish
NEM,43,Mozambique lobster,Metanephrops mozambicus,,2.6,0.3,NA,FishBase_ISSCAAP,Crustaceans
NEP,43,Norway lobster,Nephrops norvegicus,,2.6,0.3,NA,FishBase_ISSCAAP,Crustaceans
NGH,37,Longnose trevally,Carangoides chrysophrys,,4.3,NA,NA,SeaAroundUs,Pelagic fish
NGJ,37,Orangespotted trevally,Carangoides bajad,,4.5,0.8,45.1,FishBase_ISSCAAP,Pelagic fish
NGR,37,Longfin trevally,Carangoides armatus,,4.33,NA,NA,SeaAroundUs,Pelagic fish
NGS,37,Malabar trevally,Carangoides malabaricus,,4.36,0.53,49.74,FishBase_ISSCAAP,Pelagic fish
NGU,37,Yellowspotted trevally,Carangoides fulvoguttatus,,4.39,0.78,109.22,FishBase_ISSCAAP,Pelagic fish
NHA,32,North Pacific hake,Merluccius productus,,4.35,0.77,81.72,FishBase_ISSCAAP,Demersal fish
NHK,33,Donkey croaker,Pennahia anea,灰鳍彭纳石首鱼,3.99,0.69,30,FishBase_ISSCAAP,Demersal fish
NHR,33,Largescale triggerfish,Canthidermis macrolepis,,3.45,NA,NA,FishBase,Demersal fish
NIP,13,Nile perch,Lates niloticus,尼罗鲈,4.48,0.8,170.2,FishBase_ISSCAAP,Freshwater fish
NIX,52,,Nerita spp,,2,NA,NA,SeaAroundUs,"Molluscs, other"
NKR,46,Norwegian krill,Meganyctiphanes norvegica,,4,0.28,NA,FishBase_ISSCAAP,Crustaceans
NLC,45,Whitebelly prawn,Nematopalaemon schmitti,,2.2,NA,NA,SeaAroundUs,Crustaceans
NLH,45,West African estuarine prawn,Nematopalaemon hastatus,河口线足虾,3.14,NA,NA,SeaAroundUs,Crustaceans
NMU,45,Northern velvet shrimp,Metapenaeopsis novaeguineae,北方赤虾,2.7,NA,NA,Estimate(SeaAroundUs),Crustaceans
NNJ,33,Japanese threadfin bream,Nemipterus japonicus,日本金线鱼,3.77,0.512,25.14,FishBase_ISSCAAP,Demersal fish
NNZ,33,Randall's threadfin bream,Nemipterus randalli,,3.66,0.55,13.1,FishBase_ISSCAAP,Demersal fish
NOG,33,Humped rockcod,Gobionotothen gibberifrons,,3.15,0.37,49,FishBase_ISSCAAP,Demersal fish
NOP,32,Norway pout,Trisopterus esmarkii,,3.24,0.41,28.45,FishBase_ISSCAAP,Demersal fish
NOR,33,Marbled rockcod,Notothenia rossii,,3.61,0.55,81.62,FishBase_ISSCAAP,Demersal fish
NOS,33,Striped-eyed rockcod,Lepidonotothen squamifrons,,3.09,0.22,45.1,FishBase_ISSCAAP,Demersal fish
NOT,34,Patagonian rockcod,Patagonotothen brevicauda,,3.86,0.62,18.86,FishBase_ISSCAAP,Demersal fish
NOX,33,"Antarctic rockcods, noties nei",Nototheniidae,,3.44,0.06,51,FishBase_ISSCAAP,Demersal fish
NPA,35,Californian anchovy,Engraulis mordax,,2.96,0.3,24.8,FishBase_ISSCAAP,Pelagic fish
NPH,36,Japanese Spanish mackerel,Scomberomorus niphonius,,4.5,0.8,94.8,FishBase_ISSCAAP,Pelagic fish
NPP,45,Parapenaeopsis shrimps nei,Parapenaeopsis spp,,2.7,0.35,NA,FishBase_ISSCAAP,Crustaceans
NQT,56,Black ark,Anadara tuberculosa,黑粗饰蚶,2,NA,NA,SeaAroundUs,"Molluscs, other"
NRC,33,Mote sculpin,Normanichthys crockeri,诺蔓氏鱼,2.75,0.18,9.02,FishBase_ISSCAAP,Demersal fish
NSQ,52,Changeable nassa,Tritia mutabilis,多变织纹螺,3.33,NA,NA,SeaAroundUs,"Molluscs, other"
NUG,43,Green spiny lobster,Panulirus gracilis,细龙虾,2.6,NA,NA,Estimate(SeaAroundUs),Crustaceans
NUR,43,Ornate spiny lobster,Panulirus ornatus,锦绣龙虾,3.47,NA,NA,SeaAroundUs,Crustaceans
NWS,33,Black-streaked monocle bream,Scolopsis taeniata,,3.51,0.49,28.9,FishBase_ISSCAAP,Demersal fish
NXC,37,Green jack,Caranx caballus,,4.05,NA,NA,SeaAroundUs,Pelagic fish
NXI,37,Giant trevally,Caranx ignobilis,珍鲹,4.22,0.7,160.65,FishBase_ISSCAAP,Pelagic fish
NXN,37,Pacific crevalle jack,Caranx caninus,,3.9,NA,NA,SeaAroundUs,Pelagic fish
NXS,37,Senegal jack,Caranx senegallus,,3.86,NA,NA,SeaAroundUs,Pelagic fish
OAL,31,Senegalese sole,Solea senegalensis,塞内加尔鳎,3.13,0.33,60,FishBase_ISSCAAP,Demersal fish
OAM,31,Adriatic sole,Pegusa impar,,3.3,NA,NA,SeaAroundUs,Demersal fish
OAZ,33,Yellowbar angelfish,Pomacanthus maculosus,,2.67,0,50,FishBase_ISSCAAP,Demersal fish
OBJ,37,Needlescaled queenfish,Scomberoides tol,革似鲹,4.43,0.78,51.46,FishBase_ISSCAAP,Pelagic fish
OBK,34,,Brotula clarki,,4.12,NA,NA,FishBase,Demersal fish
OBL,11,Manipur osteobrama,Osteobrama belangeri,比氏骨鳊,2.81,0.32,38,FishBase_ISSCAAP,Freshwater fish
OBM,37,Talang queenfish,Scomberoides commersonnianus,康氏似鲹,4.48,0.8,99.33,FishBase_ISSCAAP,Pelagic fish
OBY,37,Doublespotted queenfish,Scomberoides lysan,长颌似鲹,4.5,0.8,87.89,FishBase_ISSCAAP,Pelagic fish
OCC,57,Common octopus,Octopus vulgaris,,3.55,0.73,NA,FishBase_ISSCAAP,Cephalopods
OCH,53,Chilean oyster,Ostrea chilensis,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
OCM,57,Horned and musky octopuses,Eledone spp,,3.2,0.14,NA,FishBase_ISSCAAP,Cephalopods
OCS,38,Oceanic whitetip shark,Carcharhinus longimanus,,4.16,0.55,324.72,FishBase_ISSCAAP,Pelagic fish
OCT,57,"Octopuses, etc. nei",Octopodidae,,3.2,0.14,NA,FishBase_ISSCAAP,Cephalopods
ODL,33,Boxlip mullet,Oedalechilus labeo,,2.54,NA,NA,SeaAroundUs,Demersal fish
ODR,37,Chilean silverside,Odontesthes regia,秘鲁牙汉鱼,4,0.5,11.07,FishBase_ISSCAAP,Pelagic fish
OEA,12,Blue tilapia,Oreochromis aureus,,2.069,0.141,37.47,FishBase_ISSCAAP,Freshwater fish
OEB,34,Blackthroat seaperch,Doederleinia berycoides,,3.88,NA,NA,SeaAroundUs,Demersal fish
OEC,11,Seven khramulya,Capoeta capoeta,,2,NA,NA,FishBase,Freshwater fish
OEY,13,Elephantsnout fishes nei,Mormyridae,,3.11,0.06,NA,FishBase_ISSCAAP,Freshwater fish
OFJ,57,Neon flying squid,Ommastrephes bartramii,,3.2,NA,NA,FishBase_ISSCAAP,Cephalopods
OGN,13,Aba,Gymnarchus niloticus,,3.71,0.58,167,FishBase_ISSCAAP,Freshwater fish
OGV,57,,Pinnoctopus cordiformis,,4.2,NA,NA,SeaAroundUs,Cephalopods
OGZ,53,Gasar cupped oyster,Crassostrea tulipa,加沙牡蛎,2,NA,NA,SeaAroundUs,"Molluscs, other"
OHB,13,Asian bonytongue,Scleropages formosus,,3.88,0.63,76.48,FishBase_ISSCAAP,Freshwater fish
OHO,12,Kariba tilapia,Oreochromis mortimeri,,2.18,NA,NA,FishBase,Freshwater fish
OIA,13,,Anostomoides laticeps,,2.19,0.13,30.61,FishBase_ISSCAAP,Freshwater fish
OIH,12,Tilapia shiranus,Oreochromis shiranus,,2,NA,NA,FishBase,Freshwater fish
OIL,34,Oilfish,Ruvettus pretiosus,,4.18,0.57,264.11,FishBase_ISSCAAP,Demersal fish
OIT,12,,Oreochromis tanganicae,,2,NA,NA,FishBase,Freshwater fish
OJD,57,Indian squid,Loligo duvauceli,印度枪乌贼,3.99,NA,NA,SeaAroundUs,Cephalopods
OJE,57,Swordtip squid,Loligo edulis,剑尖枪乌贼,4.13,NA,NA,Estimate(SeaAroundUs),Cephalopods
OKB,13,Butter catfish,Ompok bimaculatus,双斑绚鲶,3.61,0.56,45,FishBase_ISSCAAP,Freshwater fish
OLF,33,,Oplegnathus fasciatus,条石鲷,3.55,NA,NA,SeaAroundUs,Demersal fish
OLP,37,Maracaibo leatherjacket,Oligoplites palometa,帕洛革鲹,4.3,NA,NA,FishBase,Pelagic fish
OLT,37,Longjaw leatherjacket,Oligoplites altus,高革鲹,4.08,NA,NA,FishBase,Pelagic fish
ONI,33,Red-toothed triggerfish,Odonus niger,,3.22,NA,NA,SeaAroundUs,Demersal fish
ONN,13,Bronze featherback,Notopterus notopterus,弓背魚,3.5,0.56,60,FishBase_ISSCAAP,Freshwater fish
ONP,13,Reticulate knifefish,Papyrocranus afer,非洲驼背鱼,3.59,0.54,65.6,FishBase_ISSCAAP,Freshwater fish
ONV,34,Spiky oreo,Neocyttus rhomboidalis,,3.58,0.53,40,FishBase_ISSCAAP,Demersal fish
OOB,13,Arawana,Osteoglossum bicirrhosum,,3.39,0.48,85.15,FishBase_ISSCAAP,Freshwater fish
OOH,33,Punctuated snake-eel,Ophichthus remiger,,4,NA,NA,Estimate(FishBase),Demersal fish
OPH,34,"Cusk-eels, brotulas nei",Ophidiidae,,3.6,0.04,129,FishBase_ISSCAAP,Demersal fish
OPP,34,Pacific ocean perch,Sebastes alutus,,3.5,0.55,44.78,FishBase_ISSCAAP,Demersal fish
OPT,33,Ocean pout,Zoarces americanus,,3.42,0.37,90.2,FishBase_ISSCAAP,Demersal fish
OPU,35,Slender thread herring,Opisthonema bulleri,蒲氏后丝鲱,3.24,NA,NA,FishBase,Pelagic fish
OQM,47,Red sea mantis shrimp,Erugosquilla massavensis,红海口虾蛄,3.64,NA,NA,SeaAroundUs,Crustaceans
OQY,57,Mexican four-eyed octopus,Octopus maya,墨西哥蛸,3.5,0.6,NA,FishBase_ISSCAAP,Cephalopods
ORC,23,Pacific salmons nei,Oncorhynchus spp,,3.81,0.11,80,FishBase_ISSCAAP,Pelagic fish
ORD,34,Oreo dories nei,Oreosomatidae,,3.61,0.12,22,FishBase_ISSCAAP,Demersal fish
ORM,12,Longfin tilapia,Oreochromis macrochir,,2.21,0.11,30.39,FishBase_ISSCAAP,Freshwater fish
ORY,34,Orange roughy,Hoplostethus atlanticus,,4.3,0.62,61.4,FishBase_ISSCAAP,Demersal fish
OST,53,Flat and cupped oysters nei,Ostreidae,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
OTR,33,Corocoro grunt,Orthopristis ruber,,3.58,NA,NA,SeaAroundUs,Demersal fish
